2026-04-13 16:49:51,771 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 23, protocol: TCP, flags: []
2026-04-13 16:49:51,777 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 9999, protocol: TCP, flags: []
2026-04-13 16:49:51,777 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: []
2026-04-13 16:49:51,777 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['SYN']
2026-04-13 16:49:51,777 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['SYN']
2026-04-13 16:49:51,777 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['ACK']
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 23, protocol: TCP, flags: []
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 9999, protocol: TCP, flags: []
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: []
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['SYN']
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['SYN']
2026-04-13 16:54:33,528 - action: DROP, src_ip: 10.0.0.1, dst_ip: 1.1.1.1, src_port: 1234, dst_port: 80, protocol: TCP, flags: ['ACK']
